68778,86165
83166,35059
145908,215004
93769,223448
56831,173325
133161,1266
210449,192913
41164,128174
144905,236399
112687,129901
136196,6722
49219,118516
116879,216073
238797,2522
108007,22555
158392,112321
210332,90916
78405,110420
221636,94945
192610,48265
245403,149972
115577,172914
128296,6116
237087,9030
118140,20917
11661,190984
179,14143
37019,162625
184012,195165
202744,233742
26453,99125
242983,182584
247776,52399
208627,31484
86866,211043
70946,154087
178938,5764
177560,109136
174815,60611
97283,126434
57057,148801
39027,115748
236402,53572
151084,136166
126942,33445
29172,128314
227557,191124
144456,218141
156873,167897
67659,218641
131954,88024
111854,76200
213615,196256
8138,7487
92072,242512
170298,62996
13199,130902
196598,223302
15348,8150
83994,214328
121575,216899
209398,89745
198521,135709
17198,182595
198171,85911
173250,70213
80824,191843
93272,131136
95615,225453
106740,201619
240600,56929
113801,154499
85703,15577
82186,47042
126398,223527
28426,116570
179405,118172
38385,243638
186197,240211
149327,16510
187915,62988
195179,213854
45064,81496
67045,48209
239132,107246
2602,33647
227522,178393
63845,70928
68751,29086
116242,19484
211812,154861
217358,37777
232355,92163
25882,114847
21887,6329
116191,155763
223820,248622
239787,154926
69477,125644
142921,111218
172700,1385
145919,197960
134556,26092
78193,248481
71946,214969
200546,6759
113082,150475
153675,25887
11566,91277
121284,32510
183273,102869
47088,239061
119170,90030
178021,75338
116580,112353
202040,47396
31170,207295
81751,97347
246504,224910
26352,82585
203580,129629
3904,184601
43492,244837
161237,178651
71681,219822
38388,98201
80600,242363
111495,45513
4353,229475
46254,209238
227145,190013
183622,176541
52482,679
12967,154210
31515,226803
123800,205533
112378,53247
27997,177509
204805,174687
158048,20502
244608,9001
24686,17490
178096,121645
167560,39602
108734,37807
142505,9415
82264,33122
34792,176577
169153,61603
43107,3290
203593,198799
146555,90544
206583,207842
153087,23054
50290,40013
218193,165863
86895,212819
165141,130158
204101,102800
27271,146212
156188,9735
92603,86782
197124,7494
65360,137267
153602,245368
63006,188527
36869,71335
18879,125975
231527,186891
111034,51258
89983,248868
171274,211615
174819,9168
65101,49
16570,88873
171320,149412
6384,176142
46344,5986
228882,191148
215747,136983
157257,227577
46269,122245
147668,37806
102391,114069
176430,146814
90049,72747
206751,177159
126160,35188
126735,4531
67691,89103
8228,41835
146047,87637
148092,13657
229123,190566
149894,182041
99046,102898
123627,225628
189443,184016
7259,214456
141014,158094
121441,9071
49481,194566
236616,46873
81288,1689
120311,94817
13859,7388
227783,43434
209137,55339
134470,235740
69792,32350
137876,175007
103387,145175
176907,78050
80229,49140
160763,66889
21810,23079
98499,71297
166325,232191
55148,84688
139140,244883
190799,211566
156088,113659
230103,215594
157392,120219
87665,48315
102228,126765
60352,59188
170343,43770
48077,215682
123910,238565
73931,148805
142574,183987
55960,30936
241770,15546
63664,13471
181193,41813
187708,157933
65710,175570
6920,36527
120561,27737
129042,172457
111363,97913
164397,202906
231743,237216
214901,60814
84299,83014
218766,205472
230862,249383
75413,135210
206763,204747
214200,193355
207724,158436
148049,248291
25642,163108
195549,77086
205480,173096
128731,212442
134688,164020
56896,156199
240757,120620
210232,96155
62776,207613
156199,105775
134246,121590
138477,243577
202077,37270
216983,13942
72671,109027
159746,86660
215776,52628
3675,121193
52490,241324
130802,89908
7280,75363
140093,78222
95055,25523
193273,198252
26432,229772
238443,241828
176457,216932
129444,131002
93876,248367
221283,214070
67960,66470
76212,214163
35683,231415
42966,5574
95001,33066
81403,94441
213238,112699
141432,44883
18687,172488
58332,26262
159847,47704
226622,88933
190429,85990
7086,89248
161891,91145
146046,174718
152873,39154
237434,63557
203624,92706
247938,175320
198635,61301
31576,245566
166183,105326
93973,167835
221579,195807
170998,154109
130434,5718
245379,48501
47093,213119
174880,35328
223102,46250
131085,3937
98296,63210
140344,32781
140034,51367
68114,110643
183378,177169
61295,140342
226038,243313
46631,224504
17749,119869
125449,192581
210116,150136
98992,184968
192837,199636
8765,200686
128970,147557
56291,176693
9656,79603
185826,131937
213798,43
196379,100283
94500,188739
9923,79654
30408,143000
94179,34080
85603,190342
14731,24001
228818,231187
162823,82163
